ArtistId,AlbumId,TrackId,artistName,AlbumTitle,trackName,Composer
3,5,31,Aerosmith,Big Ones,Blind Man,"Steven Tyler, Joe Perry, Taylor Rhodes"
3,5,34,Aerosmith,Big Ones,Crazy,"Steven Tyler, Joe Perry, Desmond Child"
3,5,29,Aerosmith,Big Ones,Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes"
3,5,27,Aerosmith,Big Ones,Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child"
3,5,35,Aerosmith,Big Ones,Eat The Rich,"Steven Tyler, Joe Perry, Jim Vallance"
3,5,37,Aerosmith,Big Ones,Livin' On The Edge,"Steven Tyler, Joe Perry, Mark Hudson"
3,5,24,Aerosmith,Big Ones,Love In An Elevator,"Steven Tyler, Joe Perry"
3,5,25,Aerosmith,Big Ones,Rag Doll,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight"
3,5,23,Aerosmith,Big Ones,Walk On Water,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw"
3,5,26,Aerosmith,Big Ones,What It Takes,"Steven Tyler, Joe Perry, Desmond Child"
